Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Day_of_Week,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,2nd_Road_Number,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location,DateVals,TimeVals
200701FH10237,525360,175590,-0.196716,51.46535,3,2,1,5,11,E09000013,6,0,6,30,0,0,0,1,1,1,1,1,E01001934,873,539
200701FH10238,521700,180720,-0.247612,51.512254,3,2,1,2,11,E09000013,5,0,6,30,3,0,0,1,1,1,1,1,E01001243,870,1024
200701FH10239,523590,177950,-0.221359,51.48695,3,2,1,4,11,E09000013,3,219,6,30,0,0,0,1,1,1,1,1,E01001891,872,751
200701FH10240,524820,178030,-0.203625,51.487399,3,2,1,3,11,E09000013,4,317,6,30,3,0,0,1,1,1,1,2,E01001912,871,914
200701FH10241,525900,177090,-0.188413,51.478711,3,2,1,5,11,E09000013,3,308,6,30,6,0,0,1,1,1,1,1,E01001921,873,1124
200701FH10242,522670,178570,-0.234388,51.492722,3,1,1,3,11,E09000013,3,315,6,30,6,315,1,1,1,1,1,1,E01001932,871,389
200701FH10243,522920,178370,-0.230858,51.49087,3,3,2,1,11,E09000013,3,4,3,40,0,0,0,1,2,2,1,1,E01001894,876,644
200701FH10244,525510,177230,-0.193976,51.480056,2,1,1,2,11,E09000013,3,304,6,30,0,0,1,1,2,2,1,1,E01001920,877,854
200701FH10245,523840,177560,-0.217897,51.48339,3,2,1,7,11,E09000013,3,3218,6,30,0,0,0,4,1,1,1,1,E01001886,854,35
200701FH10246,525340,177230,-0.196423,51.480094,3,2,1,5,11,E09000013,3,304,6,30,3,0,0,1,1,1,1,1,E01001953,873,439
200701FH10247,525730,176130,-0.191201,51.470121,3,2,1,1,11,E09000013,3,217,6,30,6,0,0,1,2,2,1,1,E01001937,876,977
200701FH10248,523460,179630,-0.222643,51.502077,3,2,1,7,11,E09000013,3,219,6,30,6,0,0,1,2,2,1,1,E01001857,875,1109
200701FH10249,522720,180090,-0.23314,51.506372,3,2,1,3,11,E09000013,3,4020,6,30,3,0,0,1,1,1,1,1,E01001942,878,749
200701FH10252,522650,180090,-0.234148,51.506387,3,3,1,3,11,E09000013,3,4020,6,30,0,0,0,1,1,1,1,1,E01001942,878,759
200701FH10253,523390,178690,-0.22398,51.493644,3,2,1,6,11,E09000013,3,219,6,30,0,0,0,1,1,1,1,2,E01001898,881,499
200701FH10254,524670,178000,-0.205795,51.487162,3,3,1,3,11,E09000013,5,0,6,30,8,0,0,1,1,2,1,1,E01001911,878,937
200701FH10255,525150,177280,-0.19914,51.480585,3,1,1,4,11,E09000013,3,3219,6,30,3,3219,0,1,1,1,1,1,E01001953,879,793
200701FH10257,525830,177020,-0.189445,51.478098,3,2,1,3,11,E09000013,3,308,6,30,3,0,0,1,1,1,1,1,E01001923,885,1146
200701FH10258,523570,179890,-0.220968,51.504389,3,2,1,7,11,E09000013,3,4020,6,30,0,0,4,1,1,1,1,2,E01001943,847,929
